"Opportunity Name","New MRR (converted) Currency","New MRR (converted)","Net MRR (converted) Currency","Net MRR (converted)","Net TCV (converted) Currency","Net TCV (converted)","NRR (converted) Currency","NRR (converted)","Country of Origin","Account Name","Sales Type","TransactionTypeList","Opportunity Owner","Created Date","Close Date","Primary Campaign Purpose","Campaign Type","Campaign Name","Country of Origin","Created Date","Start Date","Opportunity Owner: Manager","Reporting Business Unit","Category","Sub-Category","Stage"
"De Todo Mega Plaza Progreso, Yoro","USD","250.00","USD","250.00","USD","9000.00","USD","0.00","Honduras","DISTRIBUIDORA DE TODO SA DE CV","Upsale/Crossale","New Service","Donal Medina","04-02-2024","07-31-2024","Sales Tracking","Advertisement","LATAM_Reg_Event_VIP Links_Ent_Apr2024","Latam Region","03-11-2024","04-24-2024","Laura Alvarado","LatAmRegional","Event","Special Event","Solution Design"
"De Todo Guimaca 2024","USD","150.00","USD","150.00","USD","5600.00","USD","200.00","Honduras","DISTRIBUIDORA DE TODO SA DE CV","Upsale","New Service","Donal Medina","04-08-2024","04-18-2024","Sales Tracking","Advertisement","LATAM_Reg_Event_VIP Links_Ent_Apr2024","Latam Region","03-11-2024","04-24-2024","Laura Alvarado","LatAmRegional","Event","Special Event","Closed Won"
"De todo Incremento de ancho de banda de Mall Galeria y City mall","USD","95.00","USD","95.00","USD","3420.00","USD","0.00","Honduras","DISTRIBUIDORA DE TODO SA DE CV","Upsale","Upgrade","Donal Medina","04-09-2024","04-15-2024","Sales Tracking","Advertisement","LATAM_Reg_Event_VIP Links_Ent_Apr2024","Latam Region","03-11-2024","04-24-2024","Laura Alvarado","LatAmRegional","Event","Special Event","Closed Won"
"De Todo Gracias Lempira  Nuevo Servicio","USD","150.00","USD","150.00","USD","5700.00","USD","300.00","Honduras","DISTRIBUIDORA DE TODO SA DE CV","Upsale","New Service","Donal Medina","04-22-2024","04-27-2024","Sales Tracking","Advertisement","LATAM_Reg_Event_VIP Links_Ent_Apr2024","Latam Region","03-11-2024","04-24-2024","Laura Alvarado","LatAmRegional","Event","Special Event","Closed Won"
"DeTodo la Paz Nueva tienda","USD","234.00","USD","234.00","USD","8424.00","USD","0.00","Honduras","DISTRIBUIDORA DE TODO SA DE CV","Upsale","New Service","Donal Medina","05-10-2024","06-28-2024","Sales Tracking","Advertisement","LATAM_Reg_Event_VIP Links_Ent_Apr2024","Latam Region","03-11-2024","04-24-2024","Laura Alvarado","LatAmRegional","Event","Special Event","Closed Won"
"DeTodo la Lima nuevo tienda","USD","180.00","USD","180.00","USD","6780.00","USD","300.00","Honduras","DISTRIBUIDORA DE TODO SA DE CV","Upsale/Crossale","New Service","Donal Medina","05-10-2024","07-31-2024","Sales Tracking","Advertisement","LATAM_Reg_Event_VIP Links_Ent_Apr2024","Latam Region","03-11-2024","04-24-2024","Laura Alvarado","LatAmRegional","Event","Special Event","Solution Design"
"DeTodo Plaza Tecknos Nuevo Servicios","USD","185.00","USD","185.00","USD","6660.00","USD","0.00","Honduras","DISTRIBUIDORA DE TODO SA DE CV","Upsale","New Service","Donal Medina","05-24-2024","06-14-2024","Sales Tracking","Advertisement","LATAM_Reg_Event_VIP Links_Ent_Apr2024","Latam Region","03-11-2024","04-24-2024","Laura Alvarado","LatAmRegional","Event","Special Event","Closed Won"
"DeTodo Catacamas 2 Nueva Tienda","USD","75.00","USD","75.00","USD","2900.00","USD","200.00","Honduras","DISTRIBUIDORA DE TODO SA DE CV","Upsale","New Service","Donal Medina","05-27-2024","06-13-2024","Sales Tracking","Advertisement","LATAM_Reg_Event_VIP Links_Ent_Apr2024","Latam Region","03-11-2024","04-24-2024","Laura Alvarado","LatAmRegional","Event","Special Event","Closed Won"
"Espresso SAP Business Services","USD","500.00","USD","500.00","USD","12000.00","USD","0.00","Honduras","Espresso Americano SA","Upsale/Crossale","New Service","Elvin Estrada","06-12-2023","11-02-2023","Sales Tracking","Seminar / Conference","LATAM_HON_TGU_Event_SAP-B1toHANA_Ent_May2023","Honduras","04-20-2023","05-09-2023","Laura Alvarado","LatAmENT","Event","One-to-Few","Closed Lost"
"CORINSA // Servicios SAP","USD","1500.00","USD","1500.00","USD","18000.00","USD","0.00","Honduras","EMBOTELLADORA DE SULA S A","Upsale/Crossale","New Service","Fanny Tabora","06-12-2023","09-30-2023","Sales Tracking","Seminar / Conference","LATAM_HON_SPS_Event_SAP-B1toHANA_Ent_May2023","Honduras","04-20-2023","05-10-2023","Luis Alcantara","LatAmENT","Event","One-to-Few","Closed Lost"
"Corinsa // Upgrade Licencias Project","USD","166.50","USD","166.50","USD","1998.00","USD","0.00","Honduras","EMBOTELLADORA DE SULA S A","Upsale","Upgrade","Fanny Tabora","05-10-2024","06-24-2024","Sales Tracking","Advertisement","LATAM_Hon_Event_Microsoft Defender SPS_Ent_May2024","Honduras","03-01-2024","05-16-2024","Luis Alcantara","LatAmENT","Event","One-to-Few","Closed Won"
"SuperMercados la Colonia IaaS y SAP Legacy","USD","6900.00","USD","6900.00","USD","41400.00","USD","0.00","Honduras","SUPERMERCADOS LA COLONIA S.A. DE C.V.","Crossale","New Service; Reconfiguration","Elvin Estrada","07-29-2020","06-06-2023","Sales Tracking","Special Events","LATAM_HN_Enterprise_Event_VIPLinks_Jun2023","Honduras","07-18-2023","06-21-2023","Laura Alvarado","LatAmENT","Event","Special Event","Closed Won"
"SuperMercados la Colonia Server x86 y SAP HANA","USD","2585.95","USD","2585.95","USD","16120.70","USD","605.00","Honduras","SUPERMERCADOS LA COLONIA S.A. DE C.V.","Upsale/Crossale","New Service","Elvin Estrada","05-31-2023","07-04-2023","Sales Tracking","Special Events","LATAM_HN_Enterprise_Event_VIPLinks_Jun2023","Honduras","07-18-2023","06-21-2023","Laura Alvarado","LatAmENT","Event","Special Event","Closed Lost"
"DISEMSA Enlace de Internet SPS","USD","110.00","USD","110.00","USD","2640.00","USD","0.00","Honduras","DISTRIBUIDORA DE EMPAQUES, S. DE R.L.","Upsale","New Service","Elvin Estrada","03-02-2023","03-10-2023","Lead Generation","Email","LATAM_HON_Enterprise_Oferta 1Mes Gratis Conectividad_2023","Honduras","03-06-2023","03-01-2023","Laura Alvarado","LatAmENT","Email","Offer","Closed Won"
"BANCO POPULAR IAAS Para Core Bancario","USD","4800.00","USD","4800.00","USD","172800.00","USD","0.00","Honduras","BANCO POPULAR S.A.","Upsale/Crossale","New Service","Luis Velasco","06-28-2023","02-29-2024","Sales Tracking","Special Events","LATAM_HN_Enterprise_Event_VIPLinks_Jun2023","Honduras","07-18-2023","06-21-2023","Emerson Diaz","LatAmENT","Event","Special Event","Closed Lost"
"UNICAH IaaS Universidad Virtual","USD","2500.00","USD","2500.00","USD","90000.00","USD","0.00","Honduras","UNIVERSIDAD CATOLICA DE HONDURAS","Upsale/Crossale","New Service","Elvin Estrada","08-23-2023","09-19-2024","Sales Tracking","Advertisement","LATAM_Reg_Event_Education Summit_Ent_Mar2024","Latam Region","01-24-2024","03-13-2024","Laura Alvarado","LatAmENT","Event","Special Event","Solution Design"
"Farmafacil Lima Medical Center #2","USD","105.00","USD","105.00","USD","2520.00","USD","0.00","Honduras","CORPORACION DE SALUD VALENCIANA S. A. DE C. V.","Upsale","New Service","Elvin Estrada","04-10-2024","04-22-2024","Sales Tracking","Advertisement","LATAM_Reg_Event_VIP Links_Ent_Apr2024","Latam Region","03-11-2024","04-24-2024","Laura Alvarado","LatAmRegional","Event","Special Event","Closed Won"
